,Inspection/ Maintenance Item,Yes,No,N/A,Comments
7.,Scales,,,,
(A) General,,,,,
,Has the scale(s) been checked periodically using a certified/standard dead weight?,:unselected:,:unselected:,:unselected:,
,Is the scale(s) properly calibrated and been certified by the proper authority having jurisdiction?,:unselected:,:unselected:,:unselected:,
,"Have all loops, pivots, and bearings been periodically lubricated?",:unselected:,:unselected:,:unselected:,
,Are the scale pit(s) and/or platform(s) free of any debris?,:unselected:,:unselected:,:unselected:,
(B) Automatic Shut-off System,,,,,
,"Are all actuators and control valves leak- free and in good working condition (i.e., proper fluid levels and proper alignment with scale)?",:unselected:,:unselected:,:unselected:,
,"Are all sensing lines leak-free and in good working condition (i.e., free of kinks and proper alignment with the scale)?",:unselected:,:unselected:,:unselected:,
(C) Hoses,,,,,
,Are the hose covers free of exposed reinforcement?,:unselected:,:unselected:,:unselected:,
,Is wire braid reinforcement free of kinks and not flattened?,:unselected:,:unselected:,:unselected:,
,"Are hoses free of soft spots when not under pressure, show no bulging under pressure, and have no loose outer coverings?",:unselected:,:unselected:,:unselected:,
,Are hose coupling assemblies secure and in good working condition?,:unselected:,:unselected:,:unselected:,
,"Are the ACME threads, O-rings, or gaskets in good working condition (i.e., showing little sign of excessive wear)?",:unselected:,:unselected:,:unselected:,
