,Inspection/ Maintenance Item,Yes,No,N/A,Comments
(D) Tower - Hoses and Loading Arms,,,,,
,Are the hose covers in good condition to prevent exposure of the reinforcement?,:unselected:,:unselected:,:unselected:,
,Is wire braid reinforcement free of kinks and not flattened?,:unselected:,:unselected:,:unselected:,
,"Are hoses free of soft spots when not under pressure, show no bulging under pressure, and have no loose outer coverings?",:unselected:,:unselected:,:unselected:,
,Are hose coupling assemblies secure and in good working condition?,:unselected:,:unselected:,:unselected:,
,"Are the ACME threads, O-rings, or gaskets in good working condition (i.e., showing little sign of excessive wear)?",:unselected:,:unselected:,:unselected:,
,Are loading arms leak-free and in good working condition?,:unselected:,:unselected:,:unselected:,
,Are the loading arm swing-joints properly lubricated?,:unselected:,:unselected:,:unselected:,
,Are all factory installed protective guards in place and secure?,:unselected:,:unselected:,:unselected:,
(E) Tower - Manual Shut-off Valves,,,,,
,Are valves located so that they can be easily reached during normal operations and in an emergency?,:unselected:,:unselected:,:unselected:,
,Are valves in good condition and leak-free?,:unselected:,:unselected:,:unselected:,
,"Do valves have the proper pressure rating, equal to or greater than the required working pressure of the system?",:unselected:,:unselected:,:unselected:,
