Topic,CETP Ref.,Handbook Sect. 5 Pages,"Check, If Applicable"
5.1 - Basic Bulk Plant,,,
5.1.1 - Bulk Storage Container,3.4.1,2 - 3,
5.1.2 - Loading a CTMV (Bobtail/Transport) Using a Plant Pump,2.2.4 & 2.3.3,3 - 7,
5.1.3 - Loading a CTMV (Bobtail/Transport) Using a Plant Vapor Compressor,2.2.5 & 2.3.4,7 - 11,
5.1.4 - Unloading a CTMV (Bobtail/Transport),3.5.11,12 - 15,
5.1.5 - Unloading a Railcar,3.6,16 - 25,
5.1.6 - Preparing & Transporting DOT Cylinders,2.4,26 - 33,
5.1.7 - Preparing & Transporting ASME Containers,2.5,34 - 42,
5.1.8 - Evacuating LP-Gas from Containers,3.1.5 & 3.2.2,42 - 57,
5.1.9 - Purging Containers,3.2.3,57 - 60,
5.1.10 - Dispensing LP-Gas in a Bulk Plant,3.3,61 - 69,
5.2 - Vapor Distribution Systems,-,70 - 71,
