,Inspection / Maintenance Item,Yes,No,N/A,Comments
5. Vapor Compressor,,,,,
(A) General,,,,,
,Are compressors free of corrosion or other damage?,:unselected:,:unselected:,:unselected:,
,Are compressor pads and/or foundations in good condition and properly supporting the compressors?,:unselected:,:unselected:,:unselected:,
,Are base plate bolts in place and securing the compressor to that foundation?,:unselected:,:unselected:,:unselected:,
,Are the compressors properly lubricated?,:unselected:,:unselected:,:unselected:,
,Is the crankcase oil properly filled?,:unselected:,:unselected:,:unselected:,
,Is the crankcase oil pressure properly set?,:unselected:,:unselected:,:unselected:,
,Has the oil filter been changed at the manufacturer's recommended interval?,:unselected:,:unselected:,:unselected:,
,"Are strainers elements in good working condition (i.e., strainer screens free of debris) and leak-free?",:unselected:,:unselected:,:unselected:,
,Are pressure relief valves installed in the appropriate location and in good working condition?,:unselected:,:unselected:,:unselected:,
,"Are all stainless steel flex connectors in good working condition (i.e., reinforcement braid is not damaged)?",:unselected:,:unselected:,:unselected:,
,Are all back check valves in proper working condition and leak-free?,:unselected:,:unselected:,:unselected:,
,Are fittings and piping associated with the compressor leak-free?,:unselected:,:unselected:,:unselected:,
(B) Compressor Drive Components,,,,,
,"Are drive belts properly aligned, tension properly set, and in good working condition?",:unselected:,:unselected:,:unselected:,
,"For direct drive compressors, are shaft couplings properly aligned and in good working condition?",:unselected:,:unselected:,:unselected:,
,Are drive belt guards in place and secure?,:unselected:,:unselected:,:unselected:,
(C) Compressor Gauges,,,,,
,"Are pressure gauges (suction and discharge) in good condition (i.e., 0 - 400 psig)?",:unselected:,:unselected:,:unselected:,
