,Inspection / Maintenance Item,Yes,No,N/A,Comments
1. Bulk Storage Containers,,,,,
Tank#: Mfg Serial#:,,,,,
National Board #: Manufacturer Name: Year Built:,,,,,
(A) Construction-Code Compliance,,,,,
,Is the Manufacturer's Data Plate secured and legible?,:unselected:,:unselected:,:unselected:,
,Is the data plate free of corrosion?,:unselected:,:unselected:,:unselected:,
,Is the pressure rating proper for the product?,:unselected:,:unselected:,:unselected:,
(B)Container - Condition and Markings,,,,,
,Are aboveground tanks properly painted?,:unselected:,:unselected:,:unselected:,
,"Are containers free of excessive corrosion damage, dents, gouges or other damage?",:unselected:,:unselected:,:unselected:,
,Are all container markings and decals in accordance with NFPA 58?,:unselected:,:unselected:,:unselected:,
C),Container Foundations,,,,
,Are foundations in good condition?,:unselected:,:unselected:,:unselected:,
,Are containers/saddles free of corrosion at masonry contact areas?,:unselected:,:unselected:,:unselected:,
,Are saddle pads in good condition?,:unselected:,:unselected:,:unselected:,
(D) Container Fittings,,,,,
,"Are all container openings (except relief valve connections) equipped with proper fixed restriction, back check, or internal valves and shutoff valves?",:unselected:,:unselected:,:unselected:,
,"Are connections on containers greater than 2,000 gallon water capacity marked ""vapor"" or ""liquid""?",:unselected:,:unselected:,:unselected:,
