,Inspection / Maintenance Item,Yes,No,N/A,Comments
(J) Container - Catwalks and Stairways,,,,,
,Are stairways well anchored and supported?,:unselected:,:unselected:,:unselected:,
,Are catwalk railings provided and in good condition?,:unselected:,:unselected:,:unselected:,
,Does decking design offer drainage and prevent accumulation?,:unselected:,:unselected:,:unselected:,
(K) Container - Presence of Combustibles,,,,,
,"Is the area within 10 feet of the containers free of weeds, long grass, rags, paper, wood or other loose or piled combustible debris?",:unselected:,:unselected:,:unselected:,
(L) Underground ASME Storage Tank,,,,,
,"Is protection against vehicular damage provided for the fitting housing, housing cover, tank connections and piping?",:unselected:,:unselected:,:unselected:,
,Is the container protected against corrosion by at least one of the following means:,,,,
,a.) An external coating on the tank?,:unselected:,:unselected:,:unselected:,
,b.) Cathodic protection?,:unselected:,:unselected:,:unselected:,
